eventType,player,startX,startY,endX,endY,time,outcome,possession
Pass,Mathias,87.30000000000001,23.599999999999998,54.334374999999994,6.2,1034.30,Success,Throw-in
Pass,Christian,87.30000000000001,23.599999999999998,65.134375,1.4000000000000001,1035.49,Success,
Pass,Mathias,87.30000000000001,23.599999999999998,49.534375,10.4,1038.28,Unsuccessful,
Pass,Peter,87.30000000000001,23.599999999999998,89.33437500000001,62.199999999999996,1046.94,Success,
Pass,Ash,87.30000000000001,23.599999999999998,49.734375,77.8,1052.76,Success,
Pass,Imran,87.30000000000001,23.599999999999998,37.334374999999994,63.6,1055.36,Success,
Pass,Kalen,87.30000000000001,23.599999999999998,12.134375,63.8,1088.76,Success,Throw-in
Pass,Imran,87.30000000000001,23.599999999999998,14.934375,75.4,1091.12,Success,
Pass,Ash,87.30000000000001,23.599999999999998,8.134374999999999,53.2,1092.99,Unsuccessful,
Pass,Peter,87.30000000000001,23.599999999999998,104.734375,41,1121.48,Success,
Pass,Peter,87.30000000000001,23.599999999999998,96.734375,25.2,1125.44,Success,
Pass,Mathias,87.30000000000001,23.599999999999998,25.534375,53,1132.05,Unsuccessful,
Pass,Noah,87.30000000000001,23.599999999999998,29.934375,33.6,1175.44,Unsuccessful,
Clearance,Mathias,87.30000000000001,23.599999999999998,103.934375,80.19999999999999,1187.54,Unsuccessful,
Clearance,Luch,87.30000000000001,23.599999999999998,91.534375,61.6,1227.36,Success,
Pass,Erion,87.30000000000001,23.599999999999998,55.134375000000006,59,1232.04,Unsuccessful,
Clearance,Azim,87.30000000000001,23.599999999999998,88.734375,47.400000000000006,1239.49,Unsuccessful,
Pass,Peter,87.30000000000001,23.599999999999998,114.334375,35,1268.24,Success,Free-kick
Pass,Azim,87.30000000000001,23.599999999999998,73.334375,1.4000000000000001,1272.88,Success,
Clearance,Alex,87.30000000000001,23.599999999999998,45.734375,3.4000000000000004,1277.16,Unsuccessful,
Pass,Mathias,87.30000000000001,23.599999999999998,61.73437499999999,11.799999999999999,1299.34,Success,Throw-in
Pass,Erion,87.30000000000001,23.599999999999998,75.534375,28.2,1300.10,Success,
Pass,Imran,87.30000000000001,23.599999999999998,34.934375,75.19999999999999,1308.27,Success,
Pass,Ash,87.30000000000001,23.599999999999998,35.934374999999996,49.2,1311.52,Success,
Pass,Kalen,87.30000000000001,23.599999999999998,16.134375000000002,76.39999999999999,1330.52,Success,Throw-in
Clearance,Azim,87.30000000000001,23.599999999999998,34.534375,55.199999999999996,1338.25,Success,
Pass,Luch,87.30000000000001,23.599999999999998,23.534374999999997,56.2,1338.89,Success,
Pass,Ash,87.30000000000001,23.599999999999998,8.334375000000001,53.6,1364.99,Unsuccessful,
Pass,Azim,87.30000000000001,23.599999999999998,113.334375,38.8,1446.11,Success,
Pass,Peter,87.30000000000001,23.599999999999998,108.134375,25.2,1449.88,Success,
Pass,Azim,87.30000000000001,23.599999999999998,52.534375000000004,9,1454.60,Success,
Pass,Alex,87.30000000000001,23.599999999999998,59.753125,3,1467.40,Success,Throw-in
Pass,Mathias,87.30000000000001,23.599999999999998,21.753125,30,1471.43,Unsuccessful,
Pass,Kalen,87.30000000000001,23.599999999999998,36.753125,9.399999999999999,1482.13,Success,
Pass,Alex,87.30000000000001,23.599999999999998,6.753125,58.4,1486.64,Success,
Pass,Kalen,87.30000000000001,23.599999999999998,24.953125,65.6,1497.13,Success,
Pass,Alex,87.30000000000001,23.599999999999998,12.353124999999999,48,1588.16,Unsuccessful,Free-kick
Clearance,Luch,87.30000000000001,23.599999999999998,6.5531250000000005,38.4,1593.87,Unsuccessful,
Clearance,Noah,87.30000000000001,23.599999999999998,17.153125,42.400000000000006,1603.23,Unsuccessful,
Pass,Mathias,87.30000000000001,23.599999999999998,40.953125,27.599999999999998,1612.64,Unsuccessful,
Pass,Alex,87.30000000000001,23.599999999999998,32.353125,50,1618.64,Success,
Pass,Imran,87.30000000000001,23.599999999999998,23.553125,52.400000000000006,1619.86,Success,
Pass,Erion,87.30000000000001,23.599999999999998,24.353125,44,1621.09,Success,
Clearance,Mathias,87.30000000000001,23.599999999999998,52.353125,15,1635.53,Success,
Pass,Alex,87.30000000000001,23.599999999999998,76.35312499999999,6.2,1639.65,Success,
Pass,Noah,87.30000000000001,23.599999999999998,99.753125,33.4,1643.95,Success,
Pass,Azim,87.30000000000001,23.599999999999998,90.753125,12.2,1646.59,Success,
Pass,Mathias,87.30000000000001,23.599999999999998,49.753125,33,1651.88,Unsuccessful,
Pass,Mathias,87.30000000000001,23.599999999999998,54.753125000000004,3.8,1694.07,Success,Throw-in
Pass,Noah,87.30000000000001,23.599999999999998,30.553125,4,1697.33,Unsuccessful,
Pass,Azim,87.30000000000001,23.599999999999998,71.753125,41.8,1740.76,Unsuccessful,
Pass,Peter,87.30000000000001,23.599999999999998,39.953125,45,1776.28,Success,Free-kick
Pass,Noah,87.30000000000001,23.599999999999998,27.753124999999997,47,1776.73,Success,
Pass,Erion,87.30000000000001,23.599999999999998,13.953125,44.2,1778.67,Success,
Shot,Christian,87.30000000000001,23.599999999999998,0.35312499999999997,39.6,1779.43,Unsuccessful,
Pass,Kalen,87.30000000000001,23.599999999999998,3.353125,36.6,1823.47,Success,Corner
Pass,Peter,87.30000000000001,23.599999999999998,31.553125,43.6,1839.24,Unsuccessful,
Pass,Mathias,87.30000000000001,23.599999999999998,81.753125,0.8,1849.13,Success,
Pass,Alex,87.30000000000001,23.599999999999998,81.953125,14.2,1852.63,Success,
Pass,Noah,87.30000000000001,23.599999999999998,91.953125,28.4,1855.18,Success,
Pass,Luch,87.30000000000001,23.599999999999998,92.153125,62.800000000000004,1858.52,Success,
Pass,Ash,87.30000000000001,23.599999999999998,101.15312499999999,55.8,1860.73,Success,
Pass,Kalen,87.30000000000001,23.599999999999998,68.153125,49.400000000000006,1866.88,Success,
